chronic_condition,condition_no_chronic,condition,general_grouping,iasp_classification
diabetic polyneuropathy and post-herpetic neuralgia,diabetic polyneuropathy and post-herpetic neuralgia,neuropathic pain,neuropathic,neuropathic
fibromyalgia,fibromyalgia,fibromyalgia,fibromyalgia,primary
fibromyalgia with insomnia,fibromyalgia with insomnia,fibromyalgia,fibromyalgia,primary
functional bowel disorders,functional bowel disorders,pain from bowel disorder,abdominal pain,visceral
functional chest pain,functional chest pain,chest pain,other,primary
functional gastrointestinal disorder,functional gastrointestinal disorder,pain from bowel disorder,abdominal,visceral
hand osteoarthritis,hand osteoarthritis,osteoarthritis,musculoskeletal,musculoskeletal
hiv related peripheral neuropathy,hiv related peripheral neuropathy,painful HIV neuropathy,neuropathic,neuropathic
"idiopathic pain syndrome (as defined by williams and spitzer, 1982). most patients had more than one symptom and majority of patients had moderate to severe pain in the head region and/or chronic pain in neck, shoulders, arms and/or back.","idiopathic pain syndrome (as defined by williams and spitzer, 1982). most patients had more than one symptom and majority of patients had moderate to severe pain in the head region and/orpain in neck, shoulders, arms and/or back.",unspecified chronic pain syndrome,primary,primary
"idiopathic pain syndrome, mainly: tension headache, burning mouth syndrome, abdominal pain and low back pain. . in brief, of the included 253 patients in the study byloldrup et al. (1989) 114 had tension headache (age: 17–69 years, median 41.0 years; 64% females); 47 patients hadabdominal pain (age: 20–78 years, median 45.5 years; 70%females); 15 patients with low back pain (age: 26–68 years;median 40 years; 60% females); and 77 patients with burningmouth (age: 38–80 years; median 63 years; 92% females).","idiopathic pain syndrome, mainly: tension headache, burning mouth syndrome, abdominal pain and low back pain. . in brief, of the included 253 patients in the study byloldrup et al. (1989) 114 had tension headache (age: 17–69 years, median 41.0 years; 64% females); 47 patients hadabdominal pain (age: 20–78 years, median 45.5 years; 70%females); 15 patients with low back pain (age: 26–68 years;median 40 years; 60% females); and 77 patients with burningmouth (age: 38–80 years; median 63 years; 92% females).",mixture of chronic pain conditions,unable to be classified,unable to be classified
interstitial cystitis (ic),interstitial cystitis (ic),interstitial cystitis,visceral,visceral
interstitial cystitis/painful bladder syndrome (ic/pbs),interstitial cystitis/painful bladder syndrome (ic/pbs),interstitial cystitis,visceral,visceral
irritable bowel syndrome,irritable bowel syndrome,irritable bowel syndrome,abdominal,primary
"irritable bowel syndrome, diarrhea-predominant ibs was the most common
condition in each study group.","irritable bowel syndrome, diarrhea-predominant ibs was the most common
condition in each study group.",irritable bowel syndrome,abdominal,primary
knee osteoarthritis,knee osteoarthritis,osteoarthritis,musculoskeletal,musculoskeletal
low back pain,low back pain,low back pain,musculoskeletal,primary
low back pain/lumbar radiculopathy,low back pain/lumbar radiculopathy,low back pain,musculoskeletal,primary
multiple functional somatic syndromes,multiple functional somatic syndromes,unspecified chronic pain syndrome,primary,primary
neuropathic pain,neuropathic pain,neuropathic pain,neuropathic,neuropathic
"neuropathic pain (post-herpetic neuralgia, diabetic polyneuropathy, traumatic plexus avulsion, peripheral nerve injury, failed back surgery syndrome, phantom pain, post-stroke pain)","neuropathic pain (post-herpetic neuralgia, diabetic polyneuropathy, traumatic plexus avulsion, peripheral nerve injury, failed back surgery syndrome, phantom pain, post-stroke pain)",neuropathic pain,neuropathic,neuropathic
neuropathic pain associated with multiple sclerosis.,neuropathic pain associated with multiple sclerosis.,multiple sclerosis related neuropathic pain,neuropathic,neuropathic
non-cardiac chest pain,non-cardiac chest pain,chest pain,chest pain,primary
osteoarthritis of the hip or knee,osteoarthritis of the hip or knee,osteoarthritis,musculoskeletal,musculoskeletal
osteoarthritis of the knee,osteoarthritis of the knee,osteoarthritis,musculoskeletal,musculoskeletal
pain from spinal cord injury,pain from spinal cord injury,pain from spinal cord injury,post-traumatic pain,post-traumatic pain
pain related to parkinson's disease,pain related to parkinson's disease,pain from parkinson's disease,neuropathic,neuropathic
painful diabetic neuropathy,painful diabetic neuropathy,painful diabetic neuropathy,neuropathic,neuropathic
painful diabetic peripheral neuropathy,painful diabetic peripheral neuropathy,painful diabetic neuropathy,neuropathic,neuropathic
painful diabetic peripheral neuropathy (dpn).,painful diabetic peripheral neuropathy (dpn).,painful diabetic neuropathy,neuropathic,neuropathic
painful diabetic peripheral polyneuropathy,painful diabetic peripheral polyneuropathy,painful diabetic neuropathy,neuropathic,neuropathic
painful peripheral diabetic neuropathy,painful peripheral diabetic neuropathy,painful diabetic neuropathy,neuropathic,neuropathic
painful polyneuropathy,painful polyneuropathy,neuropathic pain,neuropathic,neuropathic
peripheral neuropathic pain,peripheral neuropathic pain,neuropathic pain,neuropathic,neuropathic
persistent somatoform pain disorder,persistent somatoform pain disorder,unspecified chronic pain syndrome,primary,primary
polyneuropathy,polyneuropathy,neuropathic pain,neuropathic,neuropathic
post-herpetic neuralgia,post-herpetic neuralgia,post-herpetic neuralgia,neuropathic,neuropathic
postherpetic neuralgia,postherpetic neuralgia,post-herpetic neuralgia,neuropathic,neuropathic
"primary fibrositis, fibromyalgia","primary fibrositis, fibromyalgia",fibromyalgia,fibromyalgia,primary
rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,musculoskeletal,musculoskeletal
rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,musculoskeletal,musculoskeletal
rheumatoid arthritis as ≥5 body pain sites,rheumatoid arthritis as ≥5 body pain sites,rheumatoid arthritis,musculoskeletal,musculoskeletal
severe ibs,severe ibs,irritable bowel syndrome,abdominal,primary
somatoform symptoms and medically unexplained symptoms,somatoform symptoms and medically unexplained symptoms,unspecified chronic pain syndrome,primary,primary
"somatoform, dsm-iv-tr pain disorder","somatoform, dsm-iv-tr pain disorder",unspecified chronic pain syndrome,primary,primary
spinal cord injury (sci),spinal cord injury (sci),pain from spinal cord injury,post-traumatic pain,post-traumatic pain
temporomandibular disorders,temporomandibular disorders,temporomandibular disorder,orofacial pain,orofacial pain
temporomandibular joint disorders (tmd),temporomandibular joint disorders (tmd),temporomandibular disorder,orofacial pain,orofacial pain
"the majority of subjects had simple, nonspecific low back pain.
some subjects had multifocal pain resulting from associated fibromyalgia, but, in all cases, pain in the low back
was the predominant complaint.","the majority of subjects had simple, nonspecific low back pain.
some subjects had multifocal pain resulting from associated fibromyalgia, but, in all cases, pain in the low back
was the predominant complaint.",low back pain,musculoskeletal,primary
vulvodynia,vulvodynia,vulvodynia,primary,primary
