Study Identifier,Comments,Intervention,Intervention Name,Intervention Type,Adverse drug reaction Endpoint %,Adverse drug reaction Endpoint N, Adverse effects - physician-rated with the DOTES Endpoint %, Adverse effects - physician-rated with the DOTES Endpoint N,Adverse events Endpoint %,Adverse events Endpoint N,Adverse Events 3 months [Acute phase post-intervention] %,Adverse Events 3 months [Acute phase post-intervention] N,Adverse Events 6 months [Continuation phase post-intervention] %,Adverse Events 6 months [Continuation phase post-intervention] N,Adverse Events At least one adverse event of at least moderate intensity %,Adverse Events At least one adverse event of at least moderate intensity N,Adverse Events Ednpoint %,Adverse Events Ednpoint N,Adverse Events Endpoint %,Adverse Events Endpoint N,Adverse Events Endpoint (completer analysis n=74) %,Adverse Events Endpoint (completer analysis n=74) N,Adverse Events Endpoint (N discontinued treatment due to adverse events) %,Adverse Events Endpoint (N discontinued treatment due to adverse events) N,"Adverse Events Endpoint (no tabulation, just given in a figure) %","Adverse Events Endpoint (no tabulation, just given in a figure) N",Adverse Events No AEs %,Adverse Events No AEs N,Adverse Events Patient drop-out due to adverse event %,Adverse Events Patient drop-out due to adverse event N,Adverse events (moderate to severe side-effects) Endpoint %,Adverse events (moderate to severe side-effects) Endpoint N
Kalso 1996,Title: Amitriptyline effectively relieves neuropathic pain following treatment of breast cancer,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalso 1996,Title: Amitriptyline effectively relieves neuropathic pain following treatment of breast cancer,Amitriptyline 100mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rintala 2007,Title: Comparison of the Effectiveness of Amitriptyline and Gabapentin on Chronic Neuropathic Pain in Persons With Spinal Cord Injury,Gabapentin ≤3600mg,Gabapentin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rintala 2007,Title: Comparison of the Effectiveness of Amitriptyline and Gabapentin on Chronic Neuropathic Pain in Persons With Spinal Cord Injury,Amitriptyline ≤150mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rintala 2007,Title: Comparison of the Effectiveness of Amitriptyline and Gabapentin on Chronic Neuropathic Pain in Persons With Spinal Cord Injury,Diphenhydramine ≤75mg,Diphenhydramine,Antihistamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richards 2015,"Title: Efficacy of Venlafaxine XR for the Treatment of Pain in Patients With Spinal Cord Injury and Majo Depression: A Randomized, Controlled Trial",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richards 2015,"Title: Efficacy of Venlafaxine XR for the Treatment of Pain in Patients With Spinal Cord Injury and Majo Depression: A Randomized, Controlled Trial",Venlafaxine 37.5 - 225mg,Venlafaxine XR,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlaxoSmithKline 2005,"Title: Treatment of fibromyalgia: a randomized, double-blind, placebo-controlled study of paroxetine, a selective serotonin re-uptake inhibitor.",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlaxoSmithKline 2005,"Title: Treatment of fibromyalgia: a randomized, double-blind, placebo-controlled study of paroxetine, a selective serotonin re-uptake inhibitor.",Paroxetine 20mg,Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Benztropine mesylate 0.5 [active placebo],Benztropine mesylate,Active Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Desipramine - low,Desipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Desipramine - medium,Desipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Desipramine - high,Desipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Fluoxetine - low,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Fluoxetine - medium,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 2007,Title: Efficacy of Noradrenergic and Seotonergic Antidepressants in Chronic Back pain: A Preliminary Concentration-Controlled Trial,Fluoxetine - high,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riesner 2008,"Reviewer 1: extracted and appraised in German, reviewer 2: extracted and appraised in English, these will be compared. Title: An additive therapy for chronic pain in advanced gon-/coxarthrosis with the selective serotonin reuptake inhibitor Fluvoxamine (Fevarin)",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,70,21,,,,,,,,,,,,
Riesner 2008,"Reviewer 1: extracted and appraised in German, reviewer 2: extracted and appraised in English, these will be compared. Title: An additive therapy for chronic pain in advanced gon-/coxarthrosis with the selective serotonin reuptake inhibitor Fluvoxamine (Fevarin)",Fluvoxamine - 50-150mg,Fluvoxamine,Antidepressant,,,,,,,,,,,,,,,93.3,28,,,,,,,,,,,,
Gonzalez-Viejo 2005,Title: A comparative study of fibromyalgia treatment: ultrasonography and physiotherapy versus sertraline treatment,Physical Therapy,Physiotherapy and ultrasonography,Ultrasonography + physiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalez-Viejo 2005,Title: A comparative study of fibromyalgia treatment: ultrasonography and physiotherapy versus sertraline treatment,Sertraline - 50mg,Sertraline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watson 1998,Title: Nortriptyline versus amitriptyline in postherpetic neuralgia: A randomized trial,Amitriptyline - ≥10mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,93.9,31,,,,,,,,,,,,
Watson 1998,Title: Nortriptyline versus amitriptyline in postherpetic neuralgia: A randomized trial,Nortriptyline - ≥10mg,Nortriptyline,Antidepressant,,,,,,,,,,,,,,,93.9,31,,,,,,,,,,,,
Scudds 1989,Title: Improvements in Pain Responsiveness in Patients with Fibrositis After Successful Treatment with Amitriptyline,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scudds 1989,Title: Improvements in Pain Responsiveness in Patients with Fibrositis After Successful Treatment with Amitriptyline,Amitriptyline,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graff-Radford 2000,Title: Amitriptyline and Fluphenazine in the Treatment of Postherpetic Neuralgia,Amitriptyline (Group 1),Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graff-Radford 2000,Title: Amitriptyline and Fluphenazine in the Treatment of Postherpetic Neuralgia,Amitriptyline + Fluphenazine (Group 2),Amitriptyline + Fluphenazine,Antidepressant + Antipsychotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graff-Radford 2000,Title: Amitriptyline and Fluphenazine in the Treatment of Postherpetic Neuralgia,Fluphenazine (Group 3),Fluphenazine,Antipsychotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graff-Radford 2000,Title: Amitriptyline and Fluphenazine in the Treatment of Postherpetic Neuralgia,Glycopyrrolate (Active Placebo; Group 4),Glycopyrrolate,Active Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zitman 1990,Title: Low dose amitriptyline in chronic pain: the gain is modest,Riboflavin - 15mg,Riboflavin ,Active placebo: Vitamin B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zitman 1990,Title: Low dose amitriptyline in chronic pain: the gain is modest,Amitriptyline - 75mg + Riboflavin - 15mg,Amitriptyline + riboflavin,Antidepressant + Active placebo: Vitamin B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozerbil 2006,Title: Comparison of the effects of two antidepressants on exercise performance of the female patients with fibromyalgia,Amitriptyline - 25mg + Placebo,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozerbil 2006,Title: Comparison of the effects of two antidepressants on exercise performance of the female patients with fibromyalgia,Fluoxetine - 20mg + Placebo,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickering 2018,Title: Milnacipran poorly modulates pain in patients suffering from fibromyalgia: a randomized double-blind controlled study,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,92,,,,,,,,,,,,,
Pickering 2018,Title: Milnacipran poorly modulates pain in patients suffering from fibromyalgia: a randomized double-blind controlled study,Milnacipran - 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,96,,,,,,,,,,,,,
Goldenberg 1996,"A randomized, double-blind crossover trial of fluoxetine and amitriptyline in the treatment of fibromyalgia",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1996,"A randomized, double-blind crossover trial of fluoxetine and amitriptyline in the treatment of fibromyalgia",Amitriptyline - 25mg + Placebo,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1996,"A randomized, double-blind crossover trial of fluoxetine and amitriptyline in the treatment of fibromyalgia",Fluoxetine - 20mg + Placebo,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1996,"A randomized, double-blind crossover trial of fluoxetine and amitriptyline in the treatment of fibromyalgia",Amitriptyline - 25mg + Fluoxetine - 20mg,Amitriptyline + Fluoxetine,Combination of Antidepressant + Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoff 1982,Title: Controlled Trial of Imipramine for Chronic Low Back Pain,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoff 1982,Title: Controlled Trial of Imipramine for Chronic Low Back Pain,Imipramine - 150mg,Imipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caruso 1987,Title: Double-blind Study of Dothiepin versus Placebo in the Treatment of Primary Fibromyalgia Syndrome.,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,20,6,,,,,,,,,,,,
Caruso 1987,Title: Double-blind Study of Dothiepin versus Placebo in the Treatment of Primary Fibromyalgia Syndrome.,Dothiepin - 75mg,Dothiepin,Antidepressant,,,,,,,,,,,,,,,60,18,,,,,,,,,,,,
Max 1992,"Title: Effects of desipramine, amitriptyline, and fluoxetine on pain in diabetic neuropathy (Study 1)",Desipramine 12.5 - 150mg,Desipramine,Antidepressant,,,,,,,,,,,,,,,76,30,,,,,,,,,,,,
Max 1992,"Title: Effects of desipramine, amitriptyline, and fluoxetine on pain in diabetic neuropathy (Study 1)",Amitriptyline 12.5 - 150mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,81,31,,,,,,,,,,,,
Tammiala-Salonen 1999,"Title: Trazodone in Burning Mouth Pain: A Placebo-Controlled, Double-Blind Study",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammiala-Salonen 1999,"Title: Trazodone in Burning Mouth Pain: A Placebo-Controlled, Double-Blind Study",Trazodone 200mg,Trazodone,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1986,"Title: A randomized, controlled trial of amitriptyline and naproxen in the treatment of patients with fibromyalgia",Amitriptyline + naproxen (A+N),Amitriptyline + naproxen,Antidepressant + NSAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1986,"Title: A randomized, controlled trial of amitriptyline and naproxen in the treatment of patients with fibromyalgia",Placebo + naproxen (N),Naproxen,Placebo + NSAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1986,"Title: A randomized, controlled trial of amitriptyline and naproxen in the treatment of patients with fibromyalgia",Amitriptyline + placebo (A),Amitriptyline,Antidepressant + placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldenberg 1986,"Title: A randomized, controlled trial of amitriptyline and naproxen in the treatment of patients with fibromyalgia",Placebo + placebo (PL),NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bateman 2011,Title: Results of switching to milnacipran in fibromyalgia patients with an inadequate response to duloxetine: a phase IV pilot study,Milnacipran 50 - 200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,74.1,63,,,,,,,,,,,,
Bateman 2011,Title: Results of switching to milnacipran in fibromyalgia patients with an inadequate response to duloxetine: a phase IV pilot study,Placebo,NA,Placebo,,,,,,,,,,,,,,,76.2,16,,,,,,,,,,,,
Pilowsky 1990,"Title: A controlled study of psychotherapy and amitriptyline used individually and in combination in the treatment of chronic intractable, 'psychogenic' pain",Amitriptyline + pyschotherapy,Amitriptyline + psychotherapy,Antidepressant + psychological therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilowsky 1990,"Title: A controlled study of psychotherapy and amitriptyline used individually and in combination in the treatment of chronic intractable, 'psychogenic' pain",Amitriptyline + support,Amitriptyline + support,Antidepressant + clinician support,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilowsky 1990,"Title: A controlled study of psychotherapy and amitriptyline used individually and in combination in the treatment of chronic intractable, 'psychogenic' pain",Placebo + psychotherapy,Placebo + psychotherapy,Placebo + psychological therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilowsky 1990,"Title: A controlled study of psychotherapy and amitriptyline used individually and in combination in the treatment of chronic intractable, 'psychogenic' pain",Placebo + support,Placebo + support,Placebo + clinician support,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morello 1999,Title: Randomized Double-Blind Study Comparing the Efficacy of Gabapentin with Amitriptyline on Diabetic Peripheral Neuropathy Pain,Gabapentin 900 - 1800mg,Gabapentin,Anticonvulsant,,,,,,,,,,,,,,,72,18,,,,,,,,,,,,
Morello 1999,Title: Randomized Double-Blind Study Comparing the Efficacy of Gabapentin with Amitriptyline on Diabetic Peripheral Neuropathy Pain,Amitriptyline 25 - 75mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,68,17,,,,,,,,,,,,
Ward 1986,Title: Tricyclic Antidepressants for Chronic Low-Back Pain,Doxepin,Doxepin,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ward 1986,Title: Tricyclic Antidepressants for Chronic Low-Back Pain,Desipramine,Desipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitton 2004,Information from other article: Gendreau 2005- reference in comments,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitton 2004,Information from other article: Gendreau 2005- reference in comments,Milnacipran 25-200mg/day [q.d],Milnacipran,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitton 2004,Information from other article: Gendreau 2005- reference in comments,Milnacipran 25-200mg/day [b.i.d],Milnacipran,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sencan 2004,Title: A study to compare the therapeutic efficacy of aerobic exercise and paroxetine in fibromyalgia syndrome,Aerobic exercise (Group I),Aerobic exercise,Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sencan 2004,Title: A study to compare the therapeutic efficacy of aerobic exercise and paroxetine in fibromyalgia syndrome,Paroxetine 20mg (Group II),Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sencan 2004,Title: A study to compare the therapeutic efficacy of aerobic exercise and paroxetine in fibromyalgia syndrome,Placebo TENS (Group III),Transcutaneous Electrical Nerve Stimulation,Active comparator (Transcutaneous Electrical Nerve Stimulation),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watson 1992,"Title: Amitriptyline versus maprotiline in postherpetic neuralgia: a randomized, double-blind, crossover trial",Amitriptyline,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,57.14,20,,,,,,,,,,,,
Watson 1992,"Title: Amitriptyline versus maprotiline in postherpetic neuralgia: a randomized, double-blind, crossover trial",Maprotiline,Maprotiline,Antidepressant,,,,,,,,,,,,,,,80,28,,,,,,,,,,,,
Talley 2008,"Title: Antidepressant therapy (imipramine and citalopram) for irritable bowel syndrome: a double-blind, randomized, placebo-controlled trial",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talley 2008,"Title: Antidepressant therapy (imipramine and citalopram) for irritable bowel syndrome: a double-blind, randomized, placebo-controlled trial",Imipramine - 50mg,Imipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talley 2008,"Title: Antidepressant therapy (imipramine and citalopram) for irritable bowel syndrome: a double-blind, randomized, placebo-controlled trial",Citalopram - 40mg,Citalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skljarevski 2009,"Title: A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain. ""Study design, funding and drugs were supplied by Eli Lilly and Company.""",Placebo,NA,Placebo,,,,,,,,,,,,,,,58.97,69,,,,,,,,,,,,
Skljarevski 2009,"Title: A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain. ""Study design, funding and drugs were supplied by Eli Lilly and Company.""",Duloxetine - 20mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,66.1,39,,,,,,,,,,,,
Skljarevski 2009,"Title: A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain. ""Study design, funding and drugs were supplied by Eli Lilly and Company.""",Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,67.24,78,,,,,,,,,,,,
Skljarevski 2009,"Title: A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain. ""Study design, funding and drugs were supplied by Eli Lilly and Company.""",Duloxetine - 120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,71.43,80,,,,,,,,,,,,
Ware 2010,Title: Nabilone Versus Amitriptyline in Improving Quality of Sleep in Patients With Fibromyalgia,Nabilone 0.5-1.0mg,NA,Synthetic cannabinoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ware 2010,Title: Nabilone Versus Amitriptyline in Improving Quality of Sleep in Patients With Fibromyalgia,Amitriptyline 10-20mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muller 2008,"Title: Escitalopram in the treatment of multisomatoform disorder: a double-blind, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muller 2008,"Title: Escitalopram in the treatment of multisomatoform disorder: a double-blind, placebo-controlled trial",Escitalopram 10-20mg,Escitalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khoromi 2007,"Title: Morphine, nortriptyline and their combination vs. placebo in patients with chronic lumbar root pain",Benzotropine ≤1mg,NA,Active placebo,,,,,,,,,,,,,,,50,14,,,,,,,,,,,,
Khoromi 2007,"Title: Morphine, nortriptyline and their combination vs. placebo in patients with chronic lumbar root pain",Morphine ≥15 and ≤90mg,NA,Opioid,,,,,,,,,,,,,,,93,26,,,,,,,,,,,,
Khoromi 2007,"Title: Morphine, nortriptyline and their combination vs. placebo in patients with chronic lumbar root pain",Nortriptyline ≥25 and ≤100mg,Nortriptyline,Antidepressant,,,,,,,,,,,,,,,68,19,,,,,,,,,,,,
Khoromi 2007,"Title: Morphine, nortriptyline and their combination vs. placebo in patients with chronic lumbar root pain",Morphine + Nortriptyline,Nortriptyline,Combination opioid and antidepressant,,,,,,,,,,,,,,,89,25,,,,,,,,,,,,
Shinichi 2016,"Title: Randomized, Double-blind, Placebo-controlled Phase III Trial of Duloxetine Monotherapy in Japanese Patients With Chronic Low Back Pain",Placebo,NA,Placebo,,,,,,,,,,,,,,,59.8,134,,,,,,,,,,,,
Shinichi 2016,"Title: Randomized, Double-blind, Placebo-controlled Phase III Trial of Duloxetine Monotherapy in Japanese Patients With Chronic Low Back Pain",Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,71.4,167,,,,,,,,,,,,
Vollmer 2014,"Title: A randomized, double-blind, placebo-controlled trial of duloxetine for the treatment of pain in patients with multiple sclerosis",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vollmer 2014,"Title: A randomized, double-blind, placebo-controlled trial of duloxetine for the treatment of pain in patients with multiple sclerosis",Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clauw 2008,"Title: Milnacipran for the treatment of fibromyalgia in adults: a 15-week, multicenter, randomized, double-blind, placebo-controlled, multiple-dose clinical trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,79.1,317,,,,,,,,,,,,
Clauw 2008,"Title: Milnacipran for the treatment of fibromyalgia in adults: a 15-week, multicenter, randomized, double-blind, placebo-controlled, multiple-dose clinical trial",Milnacipran 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,89.7,358,,,,,,,,,,,,
Clauw 2008,"Title: Milnacipran for the treatment of fibromyalgia in adults: a 15-week, multicenter, randomized, double-blind, placebo-controlled, multiple-dose clinical trial",Milnacipran 200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,87.4,346,,,,,,,,,,,,
Bansal 2009,Title: Amitriptyline vs. pregabalin in painful diabetic neuropathy: a randomized double blind clinical trial,Pregabalin 75-300mg,Pregabalin,Painkiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bansal 2009,Title: Amitriptyline vs. pregabalin in painful diabetic neuropathy: a randomized double blind clinical trial,Amitriptyline 10-50 mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aragona 2005,"Title: Randomized double-blind comparison of serotonergic (Citalopram) versus noradrenergic (Reboxetine) reuptake inhibitors in outpatients with somatoform, DSM-IV-TR pain disorder",Citalopram - 40mg,Citalopram,Antidepressant,,,100,15,,,,,,,,,,,,,,,,,,,,,,,,
Aragona 2005,"Title: Randomized double-blind comparison of serotonergic (Citalopram) versus noradrenergic (Reboxetine) reuptake inhibitors in outpatients with somatoform, DSM-IV-TR pain disorder",Reboxetine - 8mg,Reboxetine,Antidepressant,,,100,14,,,,,,,,,,,,,,,,,,,,,,,,
Drossman 2003,Title: Cognitive-behavioral therapy versus education and desipramine versus placebo for moderate to severe functional bowel disorders,Placebo,Placebo, Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drossman 2003,Title: Cognitive-behavioral therapy versus education and desipramine versus placebo for moderate to severe functional bowel disorders,Desipramine - 150mg,Desipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drossman 2003,Title: Cognitive-behavioral therapy versus education and desipramine versus placebo for moderate to severe functional bowel disorders,CBT,Cognitive behavioural therapy,Psychological therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drossman 2003,Title: Cognitive-behavioral therapy versus education and desipramine versus placebo for moderate to severe functional bowel disorders,EDU,Modified-attentional control sessions,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2017,"This is STUDY 1.
A mixed-effects
model for repeated-measures (MMRM) analysis was
also conducted on change from baseline in NRS scores
in week 15, with baseline, treatment, week, site, and the
treatment-by-week interaction in the model.",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,82,106,,,,,,,,,,,,
